seller_id,seller_name,seller_country,seller_city,main_top_category,plan_code,is_active,onboarded_at
S0001,Windrow Market,IT,Milan,SPORT,BASIC,true,2022-03-03
S0002,Delvia Distribution,DE,Berlin,BEAU,BASIC,true,2025-09-07
S0003,Granit Shop,BE,Liège,FASH,BASIC,true,2024-06-09
S0004,Rivage Group,FR,Nantes,BOOK,BASIC,true,2023-10-01
S0005,Meridian Distribution,FR,Marseille,KIDS,PLUS,true,2024-04-13
S0006,Meridian Shop,BE,Bruxelles,HOME,BASIC,true,2024-09-29
S0007,Rivage Store,FR,Nantes,AUTO,PLUS,true,2024-03-17
S0008,Orbit Market,ES,Valence,HOME,PLUS,true,2023-05-05
S0009,Terra Store,ES,Barcelone,HOME,PREMIUM,true,2023-04-18
S0010,Windrow Store,NL,Amsterdam,KIDS,PLUS,true,2024-07-22
S0011,Ember Shop,DE,Munich,FASH,BASIC,true,2021-04-19
S0012,Bexon Distribution,ES,Valence,SPORT,BASIC,true,2024-11-30
S0013,Juniper Group,ES,Valence,TECH,BASIC,true,2022-10-06
S0014,Alvora Distribution,FR,Lyon,BOOK,BASIC,true,2021-01-23
S0015,Granit Group,NL,Amsterdam,BEAU,BASIC,true,2024-12-26
S0016,Solstice Shop,BE,Liège,BOOK,BASIC,false,2021-09-06
S0017,Halcyon Shop,IT,Rome,AUTO,BASIC,true,2023-04-16
S0018,Kestrel Market,FR,Lyon,HOME,PLUS,true,2024-09-14
S0019,Pallas Shop,FR,Bordeaux,BOOK,PLUS,true,2024-12-05
S0020,Quartz Market,IT,Rome,BOOK,PREMIUM,true,2024-06-27
S0021,Ember Store,FR,Lyon,SPORT,BASIC,true,2021-02-07
S0022,Windrow Store,FR,Lille,BEAU,PLUS,true,2023-01-15
S0023,Ember Group,FR,Nantes,AUTO,BASIC,true,2023-12-17
S0024,Ivory Market,DE,Berlin,FASH,BASIC,true,2024-12-24
S0025,Granit Store,FR,Lille,HOME,BASIC,true,2021-04-09
S0026,Meridian Shop,DE,Hambourg,BOOK,BASIC,true,2022-12-05
S0027,Solstice Shop,FR,Bordeaux,BEAU,BASIC,true,2024-09-07
S0028,Ivory Shop,ES,Madrid,FASH,PLUS,true,2023-05-28
S0029,Alvora Distribution,FR,Rennes,TECH,BASIC,true,2022-06-24
S0030,Windrow Distribution,FR,Rennes,TECH,BASIC,true,2023-12-18
S0031,Fjord Distribution,BE,Bruxelles,FASH,PLUS,true,2025-09-01
S0032,Bexon Distribution,FR,Strasbourg,BOOK,BASIC,true,2023-06-24
S0033,Nordis Market,FR,Marseille,AUTO,BASIC,true,2023-11-24
S0034,Cirrus Group,DE,Berlin,AUTO,BASIC,true,2021-01-20
S0035,Fjord Distribution,FR,Rennes,TECH,BASIC,true,2023-12-15
S0036,Ivory Distribution,IT,Milan,HOME,BASIC,true,2025-08-24
S0037,Rivage Market,DE,Munich,SPORT,BASIC,true,2025-06-10
S0038,Halcyon Shop,DE,Berlin,TECH,PLUS,false,2024-08-17
S0039,Bexon Group,FR,Marseille,SPORT,PREMIUM,true,2023-08-11
S0040,Nordis Shop,BE,Bruxelles,HOME,PREMIUM,true,2025-06-13
S0041,Nordis Shop,IT,Milan,BEAU,BASIC,true,2023-11-24
S0042,Solstice Distribution,BE,Liège,HOME,PLUS,true,2024-08-02
S0043,Meridian Market,FR,Toulouse,SPORT,PLUS,true,2022-05-06
S0044,Nordis Shop,FR,Lille,FASH,BASIC,true,2023-08-16
S0045,Vertex Group,FR,Marseille,TECH,PLUS,true,2024-02-08
S0046,Bexon Shop,FR,Marseille,AUTO,BASIC,true,2023-06-22
S0047,Terra Market,FR,Bordeaux,BEAU,BASIC,true,2025-06-28
S0048,Ivory Store,FR,Lyon,TECH,BASIC,true,2022-03-21
S0049,Rivage Store,FR,Bordeaux,BEAU,BASIC,true,2023-03-11
S0050,Juniper Store,ES,Barcelone,SPORT,BASIC,true,2024-07-03
S0051,Juniper Shop,IT,Milan,SPORT,BASIC,false,2023-09-02
S0052,Quartz Group,ES,Valence,BEAU,PLUS,true,2023-08-03
S0053,Granit Shop,NL,Amsterdam,BOOK,BASIC,true,2024-08-17
S0054,Granit Shop,DE,Berlin,BOOK,PLUS,true,2022-02-12
S0055,Fjord Group,FR,Toulouse,AUTO,BASIC,true,2025-08-15
S0056,Delvia Store,FR,Nantes,TECH,BASIC,true,2022-06-30
S0057,Lumen Distribution,DE,Berlin,SPORT,BASIC,true,2021-01-27
S0058,Lumen Shop,ES,Madrid,FASH,BASIC,true,2023-12-03
S0059,Ember Group,ES,Madrid,FASH,BASIC,true,2023-02-03
S0060,Bexon Store,ES,Barcelone,BOOK,PLUS,true,2023-08-04
S0061,Rivage Distribution,BE,Anvers,HOME,PLUS,true,2023-04-29
S0062,Kestrel Group,DE,Munich,BEAU,BASIC,true,2021-11-20
S0063,Delvia Distribution,FR,Bordeaux,BOOK,PLUS,true,2023-03-01
S0064,Lumen Market,IT,Milan,FASH,BASIC,true,2023-07-22
S0065,Granit Shop,ES,Barcelone,TECH,PREMIUM,true,2024-08-08
S0066,Zephyr Group,ES,Valence,TECH,BASIC,true,2021-07-28
S0067,Alvora Store,FR,Marseille,SPORT,BASIC,true,2022-08-18
S0068,Ivory Store,NL,Amsterdam,FASH,BASIC,true,2021-12-03
S0069,Windrow Store,FR,Rennes,HOME,BASIC,true,2021-07-21
S0070,Ursa Market,BE,Liège,FASH,BASIC,true,2023-03-16
S0071,Windrow Distribution,BE,Bruxelles,TECH,BASIC,true,2024-02-11
S0072,Pallas Shop,NL,Amsterdam,AUTO,PLUS,true,2025-03-27
S0073,Granit Group,FR,Strasbourg,BOOK,BASIC,true,2024-12-10
S0074,Zephyr Shop,BE,Bruxelles,FASH,PLUS,true,2023-04-05
S0075,Quartz Market,BE,Bruxelles,KIDS,BASIC,true,2023-08-20
S0076,Ursa Distribution,DE,Berlin,BEAU,PREMIUM,true,2023-03-14
S0077,Meridian Market,ES,Valence,BEAU,BASIC,true,2021-10-20
S0078,Meridian Shop,ES,Madrid,KIDS,BASIC,true,2023-09-29
S0079,Terra Group,FR,Lyon,SPORT,PREMIUM,true,2025-02-09
S0080,Alvora Distribution,IT,Rome,FASH,BASIC,true,2022-06-07
S0081,Meridian Store,FR,Rennes,SPORT,BASIC,true,2022-11-21
S0082,Meridian Group,IT,Milan,KIDS,BASIC,true,2022-04-11
S0083,Kestrel Market,FR,Lyon,HOME,BASIC,true,2021-10-14
S0084,Cirrus Group,BE,Liège,KIDS,PREMIUM,false,2024-12-29
S0085,Terra Market,ES,Valence,AUTO,BASIC,true,2024-06-19
S0086,Ursa Store,DE,Hambourg,SPORT,BASIC,true,2021-05-07
S0087,Lumen Market,IT,Milan,BOOK,PLUS,false,2021-01-22
S0088,Cirrus Market,IT,Rome,SPORT,BASIC,true,2025-10-03
S0089,Lumen Store,ES,Barcelone,HOME,BASIC,true,2025-10-03
S0090,Bexon Shop,NL,Amsterdam,AUTO,PLUS,true,2023-12-12
S0091,Ember Shop,BE,Bruxelles,TECH,PREMIUM,true,2022-04-04
S0092,Halcyon Shop,ES,Valence,HOME,PREMIUM,true,2025-10-10
S0093,Pallas Market,BE,Anvers,HOME,BASIC,true,2022-05-02
S0094,Delvia Store,BE,Bruxelles,BEAU,BASIC,true,2024-04-12
S0095,Ember Distribution,FR,Lille,SPORT,BASIC,true,2024-08-15
S0096,Nordis Store,FR,Rennes,BOOK,PLUS,true,2024-01-13
S0097,Halcyon Distribution,FR,Bordeaux,SPORT,BASIC,true,2022-01-28
S0098,Juniper Shop,NL,Amsterdam,BOOK,PLUS,true,2023-01-04
S0099,Alvora Market,ES,Madrid,AUTO,PLUS,true,2025-07-05
S0100,Orbit Shop,FR,Toulouse,BEAU,PLUS,true,2023-05-23
S0101,Ursa Shop,BE,Anvers,BEAU,BASIC,true,2023-02-22
S0102,Zephyr Market,FR,Paris,AUTO,BASIC,true,2021-09-06
S0103,Ursa Group,FR,Lille,BEAU,BASIC,true,2023-10-12
S0104,Ursa Market,BE,Liège,BOOK,PREMIUM,true,2024-03-23
S0105,Rivage Store,BE,Bruxelles,BEAU,PLUS,true,2024-09-01
S0106,Bexon Market,ES,Barcelone,AUTO,PLUS,false,2023-02-14
S0107,Zephyr Shop,FR,Lyon,FASH,BASIC,true,2023-05-06
S0108,Ursa Group,NL,Amsterdam,BEAU,BASIC,true,2025-02-16
S0109,Nordis Group,IT,Rome,SPORT,PLUS,true,2024-06-18
S0110,Bexon Distribution,IT,Milan,BOOK,BASIC,true,2025-05-08
S0111,Terra Distribution,IT,Milan,AUTO,BASIC,true,2022-12-23
S0112,Kestrel Group,BE,Anvers,TECH,BASIC,true,2022-05-06
S0113,Orbit Distribution,FR,Nantes,BEAU,BASIC,true,2025-05-23
S0114,Fjord Distribution,FR,Rennes,HOME,BASIC,true,2023-05-19
S0115,Rivage Market,FR,Lille,HOME,PLUS,true,2022-03-08
S0116,Halcyon Shop,DE,Berlin,BOOK,BASIC,true,2023-02-06
S0117,Terra Distribution,NL,Amsterdam,TECH,BASIC,true,2024-06-05
S0118,Granit Distribution,NL,Amsterdam,HOME,BASIC,true,2023-12-23
S0119,Meridian Group,FR,Rennes,SPORT,BASIC,true,2023-12-06
S0120,Pallas Group,ES,Barcelone,SPORT,PREMIUM,false,2024-07-13
S0121,Rivage Shop,FR,Marseille,TECH,PLUS,true,2024-04-10
S0122,Fjord Distribution,ES,Barcelone,BEAU,PREMIUM,true,2022-05-14
S0123,Fjord Group,DE,Berlin,AUTO,BASIC,true,2021-09-29
S0124,Fjord Distribution,ES,Valence,FASH,BASIC,true,2023-01-24
S0125,Bexon Market,IT,Rome,SPORT,BASIC,true,2021-10-10
S0126,Alvora Shop,NL,Amsterdam,BEAU,BASIC,false,2025-06-18
S0127,Ursa Shop,ES,Madrid,HOME,BASIC,true,2025-04-11
S0128,Lumen Store,ES,Madrid,BOOK,BASIC,true,2024-05-27
S0129,Ursa Shop,FR,Lyon,KIDS,PREMIUM,true,2021-05-16
S0130,Fjord Market,FR,Rennes,FASH,BASIC,true,2022-07-13
S0131,Lumen Market,IT,Rome,AUTO,PLUS,true,2021-05-10
S0132,Zephyr Store,DE,Hambourg,BEAU,BASIC,true,2023-10-16
S0133,Pallas Market,BE,Bruxelles,AUTO,BASIC,true,2023-06-13
S0134,Delvia Shop,BE,Bruxelles,KIDS,PLUS,true,2022-01-03
S0135,Pallas Shop,ES,Barcelone,BEAU,BASIC,true,2022-09-16
S0136,Ursa Market,BE,Bruxelles,BEAU,BASIC,true,2024-06-14
S0137,Zephyr Shop,IT,Rome,BOOK,PLUS,true,2022-10-16
S0138,Bexon Group,BE,Anvers,FASH,BASIC,true,2023-02-13
S0139,Ember Group,ES,Valence,BOOK,BASIC,true,2023-03-05
S0140,Delvia Market,DE,Hambourg,TECH,BASIC,true,2021-03-08
S0141,Ivory Group,BE,Liège,BOOK,BASIC,true,2021-12-09
S0142,Vertex Shop,FR,Nantes,TECH,BASIC,true,2022-12-17
S0143,Lumen Store,BE,Anvers,TECH,BASIC,true,2025-08-11
S0144,Ember Shop,FR,Lille,HOME,BASIC,true,2021-04-30
S0145,Ember Store,DE,Hambourg,BEAU,PLUS,true,2024-05-04
S0146,Terra Store,ES,Valence,BOOK,PLUS,true,2023-01-22
S0147,Ivory Group,ES,Valence,TECH,PLUS,true,2024-07-08
S0148,Ivory Market,FR,Marseille,HOME,BASIC,true,2023-02-12
S0149,Ursa Store,NL,Amsterdam,KIDS,BASIC,true,2021-01-14
S0150,Fjord Store,ES,Madrid,TECH,BASIC,false,2021-10-15
S0151,Quartz Store,DE,Hambourg,KIDS,PLUS,true,2023-06-13
S0152,Fjord Group,FR,Lille,KIDS,BASIC,true,2024-03-19
S0153,Halcyon Store,DE,Hambourg,FASH,PLUS,true,2023-10-12
S0154,Cirrus Distribution,BE,Anvers,BOOK,BASIC,true,2023-07-05
S0155,Orbit Market,DE,Berlin,AUTO,PLUS,true,2024-12-17
S0156,Ivory Group,FR,Toulouse,SPORT,PREMIUM,true,2021-04-03
S0157,Lumen Distribution,DE,Hambourg,SPORT,BASIC,true,2023-11-27
S0158,Pallas Shop,DE,Berlin,HOME,BASIC,true,2022-09-20
S0159,Lumen Market,FR,Lille,FASH,BASIC,false,2021-01-21
S0160,Ursa Group,FR,Toulouse,BOOK,BASIC,true,2025-02-27
S0161,Ember Distribution,DE,Berlin,HOME,PLUS,true,2025-05-23
S0162,Orbit Shop,IT,Milan,HOME,BASIC,true,2025-08-08
S0163,Cirrus Shop,FR,Nantes,BEAU,BASIC,true,2021-08-31
S0164,Meridian Store,FR,Strasbourg,FASH,PLUS,true,2025-08-14
S0165,Fjord Market,DE,Berlin,BEAU,BASIC,true,2021-08-29
S0166,Terra Market,FR,Strasbourg,AUTO,BASIC,true,2024-03-14
S0167,Alvora Market,FR,Nantes,AUTO,PLUS,true,2021-01-07
S0168,Bexon Store,FR,Paris,HOME,BASIC,true,2025-01-26
S0169,Alvora Distribution,FR,Lyon,SPORT,BASIC,true,2022-01-26
S0170,Rivage Market,FR,Strasbourg,FASH,BASIC,true,2022-11-30
S0171,Solstice Group,ES,Barcelone,TECH,BASIC,true,2025-09-16
S0172,Orbit Market,FR,Bordeaux,AUTO,BASIC,true,2022-12-20
S0173,Terra Group,FR,Lille,HOME,BASIC,true,2024-09-07
