order_id;order_ts;customer_id;product_id;quantity;unit_price;status
C0013;2026-09-02 08:30:00;CLI002;P002;2;24,50;COMPLETED
C0014;2026-09-02 09:10:15;CLI008;P004;1;79,90;COMPLETED
C0015;2026-13-45 99:99:99;CLI003;P001;1;89,90;COMPLETED
C0016;2026-09-02 10:22:00;CLI005;P005;3;45,00;PENDING
C0017;2026-09-02 11:05:30;CLI001;P003;1;249,00;COMPLETED
C0018;2026-09-02 12:40:00;CLI009;P002;0;24,50;COMPLETED
C0019;2026-09-02 13:15:00;CLI006;P001;2;89,90;cancelled
C0020;2026-09-02 14:50:00;CLI007;P004;1;79,90;COMPLETED
C0005;2026-09-01 11:15:20;CLI004;P005;2;45,00;CANCELLED
C0021;2026-09-02 16:20:00;CLI010;P003;1;249,00;COMPLETED
