order_id;order_ts;customer_id;product_id;quantity;unit_price;status
C0001;2026-09-01 09:12:00;CLI001;P001;2;89,90;COMPLETED
C0002;2026-09-01 09:45:12;CLI002;P003;1;249,00;completed
C0003;2026-09-01 10:03:44;CLI001;P002;3;24,50; PENDING
C0004;2026-09-01 10:30:00;CLI003;P004;1;79,90;COMPLETED
C0005;2026-09-01 11:15:20;CLI004;P005;2;45,00;CANCELLED
C0006;2026-09-01 11:48:05;CLI002;P001;1;89,90;completed
C0007;2026-09-01 12:02:33;CLI005;P003;1;249,00;COMPLETED
C0008;2026-09-01 13:20:10;CLI003;P002;4;24,50;Completed
C0009;2026-09-01 14:05:00;CLI006;P004;2;79,90;PENDING
C0010;2026-09-01 15:30:45;CLI001;P005;1;45,00;COMPLETED
C0011;2026-09-01 16:12:00;CLI007;P001;1;89,90;COMPLETED
C0012;2026-09-01 17:00:00;CLI004;P003;2;249,00;completed
