seller_id,seller_name,seller_country,seller_city,main_top_category,plan_code,is_active,onboarded_at,updated_at
S0001,Windrow Market,IT,Milan,SPORT,BASIC,true,2022-03-03,2022-03-03 09:00:00
S0002,Delvia Distribution,DE,Berlin,BEAU,BASIC,true,2025-09-07,2025-09-07 09:00:00
S0003,Granit Shop,BE,Liège,FASH,BASIC,true,2024-06-09,2024-06-09 09:00:00
S0004,Rivage Group,FR,Nantes,BOOK,BASIC,true,2023-10-01,2023-10-01 09:00:00
S0005,Meridian Distribution,FR,Marseille,KIDS,PLUS,true,2024-04-13,2024-04-13 09:00:00
S0006,Meridian Shop,BE,Bruxelles,HOME,BASIC,true,2024-09-29,2024-09-29 09:00:00
S0007,Rivage Store,FR,Nantes,AUTO,PLUS,true,2024-03-17,2024-03-17 09:00:00
S0008,Orbit Market,ES,Valence,HOME,PLUS,true,2023-05-05,2023-05-05 09:00:00
S0009,Terra Store,ES,Barcelone,HOME,PREMIUM,true,2023-04-18,2023-04-18 09:00:00
S0010,Windrow Store,NL,Amsterdam,KIDS,BASIC,true,2024-07-22,2026-06-05 08:15:00
S0011,Ember Shop,DE,Munich,FASH,BASIC,true,2021-04-19,2021-04-19 09:00:00
S0012,Bexon Distribution,ES,Valence,SPORT,BASIC,true,2024-11-30,2024-11-30 09:00:00
S0013,Juniper Group,ES,Valence,TECH,BASIC,true,2022-10-06,2022-10-06 09:00:00
S0014,Alvora Distribution,FR,Lyon,BOOK,BASIC,true,2021-01-23,2021-01-23 09:00:00
S0015,Granit Group,NL,Amsterdam,BEAU,BASIC,true,2024-12-26,2024-12-26 09:00:00
S0016,Solstice Shop,BE,Liège,BOOK,BASIC,false,2021-09-06,2021-09-06 09:00:00
S0017,Halcyon Shop,IT,Rome,AUTO,BASIC,true,2023-04-16,2023-04-16 09:00:00
S0018,Kestrel Market,FR,Lyon,HOME,PLUS,true,2024-09-14,2024-09-14 09:00:00
S0019,Pallas Shop,FR,Bordeaux,BOOK,PLUS,true,2024-12-05,2024-12-05 09:00:00
S0020,Quartz Market,IT,Rome,BOOK,PREMIUM,true,2024-06-27,2024-06-27 09:00:00
S0021,Ember Store,FR,Lyon,SPORT,BASIC,true,2021-02-07,2021-02-07 09:00:00
S0022,Windrow Store,FR,Lille,BEAU,BASIC,true,2023-01-15,2026-06-05 08:15:00
S0023,Ember Group,FR,Nantes,AUTO,BASIC,true,2023-12-17,2023-12-17 09:00:00
S0024,Ivory Market,DE,Berlin,FASH,BASIC,true,2024-12-24,2024-12-24 09:00:00
S0025,Granit Store,FR,Lille,HOME,BASIC,true,2021-04-09,2021-04-09 09:00:00
S0026,Meridian Shop,DE,Hambourg,BOOK,BASIC,true,2022-12-05,2022-12-05 09:00:00
S0027,Solstice Shop,FR,Bordeaux,BEAU,BASIC,true,2024-09-07,2024-09-07 09:00:00
S0028,Ivory Shop,ES,Madrid,FASH,PLUS,true,2023-05-28,2023-05-28 09:00:00
S0029,Alvora Distribution,FR,Rennes,TECH,BASIC,true,2022-06-24,2022-06-24 09:00:00
S0030,Windrow Distribution,FR,Rennes,TECH,PREMIUM,true,2023-12-18,2026-06-05 08:15:00
S0031,Fjord Distribution,BE,Bruxelles,FASH,PLUS,true,2025-09-01,2025-09-01 09:00:00
S0032,Bexon Distribution,FR,Strasbourg,BOOK,BASIC,true,2023-06-24,2023-06-24 09:00:00
S0033,Nordis Market,FR,Marseille,AUTO,BASIC,true,2023-11-24,2023-11-24 09:00:00
S0034,Cirrus Group,DE,Berlin,AUTO,BASIC,true,2021-01-20,2021-01-20 09:00:00
S0035,Fjord Distribution,FR,Rennes,TECH,BASIC,true,2023-12-15,2023-12-15 09:00:00
S0036,Ivory Distribution,IT,Milan,HOME,BASIC,true,2025-08-24,2025-08-24 09:00:00
S0037,Rivage Market,DE,Munich,SPORT,BASIC,true,2025-06-10,2025-06-10 09:00:00
S0038,Halcyon Shop,DE,Berlin,TECH,PLUS,false,2024-08-17,2024-08-17 09:00:00
S0039,Bexon Group,FR,Marseille,SPORT,PREMIUM,true,2023-08-11,2023-08-11 09:00:00
S0040,Nordis Shop,BE,Bruxelles,HOME,PREMIUM,true,2025-06-13,2025-06-13 09:00:00
S0041,Nordis Shop,IT,Milan,BEAU,BASIC,true,2023-11-24,2023-11-24 09:00:00
S0042,Solstice Distribution,BE,Liège,HOME,PLUS,true,2024-08-02,2024-08-02 09:00:00
S0043,Meridian Market,FR,Toulouse,SPORT,PREMIUM,true,2022-05-06,2026-06-05 08:15:00
S0044,Nordis Shop,FR,Lille,FASH,BASIC,true,2023-08-16,2023-08-16 09:00:00
S0045,Vertex Group,FR,Marseille,TECH,PLUS,true,2024-02-08,2024-02-08 09:00:00
S0046,Bexon Shop,FR,Marseille,AUTO,BASIC,true,2023-06-22,2023-06-22 09:00:00
S0047,Terra Market,FR,Bordeaux,BEAU,BASIC,true,2025-06-28,2025-06-28 09:00:00
S0048,Ivory Store,FR,Lyon,TECH,BASIC,true,2022-03-21,2022-03-21 09:00:00
S0049,Rivage Store,FR,Bordeaux,BEAU,BASIC,true,2023-03-11,2023-03-11 09:00:00
S0050,Juniper Store,ES,Barcelone,SPORT,BASIC,true,2024-07-03,2024-07-03 09:00:00
S0051,Juniper Shop,IT,Milan,SPORT,BASIC,false,2023-09-02,2023-09-02 09:00:00
S0052,Quartz Group,ES,Valence,BEAU,PLUS,true,2023-08-03,2023-08-03 09:00:00
S0053,Granit Shop,NL,Amsterdam,BOOK,BASIC,true,2024-08-17,2024-08-17 09:00:00
S0054,Granit Shop,DE,Berlin,BOOK,PLUS,true,2022-02-12,2022-02-12 09:00:00
S0055,Fjord Group,FR,Toulouse,AUTO,BASIC,true,2025-08-15,2025-08-15 09:00:00
S0056,Delvia Store,FR,Nantes,TECH,BASIC,true,2022-06-30,2022-06-30 09:00:00
S0057,Lumen Distribution,DE,Berlin,SPORT,BASIC,true,2021-01-27,2021-01-27 09:00:00
S0058,Lumen Shop,ES,Madrid,FASH,BASIC,true,2023-12-03,2023-12-03 09:00:00
S0059,Ember Group,ES,Madrid,FASH,BASIC,true,2023-02-03,2023-02-03 09:00:00
S0060,Bexon Store,ES,Barcelone,BOOK,PLUS,true,2023-08-04,2023-08-04 09:00:00
S0061,Rivage Distribution,BE,Anvers,HOME,PLUS,true,2023-04-29,2023-04-29 09:00:00
S0062,Kestrel Group,DE,Munich,BEAU,BASIC,true,2021-11-20,2021-11-20 09:00:00
S0063,Delvia Distribution,FR,Bordeaux,BOOK,PLUS,true,2023-03-01,2023-03-01 09:00:00
S0064,Lumen Market,IT,Milan,FASH,BASIC,true,2023-07-22,2023-07-22 09:00:00
S0065,Granit Shop,ES,Barcelone,TECH,PREMIUM,true,2024-08-08,2024-08-08 09:00:00
S0066,Zephyr Group,ES,Valence,TECH,BASIC,true,2021-07-28,2021-07-28 09:00:00
S0067,Alvora Store,FR,Marseille,SPORT,BASIC,true,2022-08-18,2022-08-18 09:00:00
S0068,Ivory Store,NL,Amsterdam,FASH,BASIC,true,2021-12-03,2021-12-03 09:00:00
S0069,Windrow Store,FR,Rennes,HOME,BASIC,true,2021-07-21,2021-07-21 09:00:00
